beer,user,rating
47658,bluejacket74,4.97
66674,bluejacket74,4.04
48824,bluejacket74,3.71
55939,bluejacket74,4.1
68916,bluejacket74,4.34
74986,bluejacket74,4.42
76816,bluejacket74,4.0
178740,bluejacket74,3.77
142974,bluejacket74,4.0
5328,bluejacket74,3.48
45073,bluejacket74,4.47
53453,bluejacket74,4.13
6,bluejacket74,3.95
30,bluejacket74,4.33
31,bluejacket74,4.0
33,bluejacket74,4.1
34,bluejacket74,4.21
39,bluejacket74,4.03
63,bluejacket74,4.0
61,bluejacket74,4.08
65,bluejacket74,2.68
73,bluejacket74,4.92
27800,bluejacket74,3.65
38394,bluejacket74,4.37
16403,bluejacket74,4.03
88,bluejacket74,4.38
90,bluejacket74,4.5
92,bluejacket74,4.5
101,bluejacket74,3.41
102,bluejacket74,3.55
103,bluejacket74,3.38
104,bluejacket74,3.95
108,bluejacket74,2.78
129,bluejacket74,4.25
131,bluejacket74,4.5
141,bluejacket74,4.21
147,bluejacket74,3.7
148,bluejacket74,3.65
155,bluejacket74,4.42
156,bluejacket74,4.17
52855,bluejacket74,4.32
1173,bluejacket74,4.0
184,bluejacket74,4.0
30288,bluejacket74,4.33
197,bluejacket74,4.2
198,bluejacket74,4.0
199,bluejacket74,4.2
219,bluejacket74,3.8
221,bluejacket74,4.47
222,bluejacket74,4.18
224,bluejacket74,4.38
1545,bluejacket74,4.75
226,bluejacket74,4.33
229,bluejacket74,4.38
236,bluejacket74,3.65
279,bluejacket74,3.83
283,bluejacket74,4.08
34420,bluejacket74,4.53
299,bluejacket74,2.73
42533,bluejacket74,4.21
35732,bluejacket74,4.11
353,bluejacket74,4.15
355,bluejacket74,4.18
361,bluejacket74,4.05
386,bluejacket74,4.0
387,bluejacket74,3.43
402,bluejacket74,4.25
7463,bluejacket74,3.88
412,bluejacket74,4.18
78906,bluejacket74,4.27
448,bluejacket74,3.8
56199,bluejacket74,4.6
703,bluejacket74,4.01
571,bluejacket74,4.42
572,bluejacket74,3.53
576,bluejacket74,3.78
577,bluejacket74,3.5
580,bluejacket74,2.76
599,bluejacket74,4.32
607,bluejacket74,3.6
